"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\Display\DisplayManager.cs", "C#", 46, 2, 9, 57
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\EnteringSc\Lobby\L_PanelChat.cs", "C#", 2, 1, 1, 4
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\EnteringSc\SignUpPanel.cs", "C#", 1, 0, 1, 2
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\GameSc\Manager\GameSceneUpdater.cs", "C#", 70, 17, 14, 101
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\GameSc\Manager\WorldAnimHandler.cs", "C#", 3, 6, 3, 12
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\GameSc\TableObjects\TableCardHandler.cs", "C#", 1, 1, 1, 3
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\GameSc\TableObjects\TableChipHandler.cs", "C#", 14, 1, 1, 16
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\GameSc\UI\Canvas\PlayerCanvas.cs", "C#", 19, 5, 5, 29
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\GameSc\UI\Canvas\ScreenCanvas\ScreenCanvas.cs", "C#", 6, 6, 3, 15
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\GameSc\UI\Canvas\Timer.cs", "C#", 2, 0, 2, 4
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\GameSc\UI\GameMenu.cs", "C#", -4, 0, -1, -5
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\GameTable.cs", "C#", -4, 2, 5, 3
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\MenuFunctions.cs", "C#", 98, 3, 23, 124
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\MenuPanel.cs", "C#", -6, 1, -6, -11
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\Sound\BgmManager.cs", "C#", 25, 2, 7, 34
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\Sound\ButtonSoundHandler.cs", "C#", 40, 3, 4, 47
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\Sound\EntScene\DoorSoundHandler.cs", "C#", 10, 0, 2, 12
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\Sound\EntScene\EntSfxHolder.cs", "C#", 24, 0, 5, 29
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\Sound\GameSceneSfx\CanvasCardSoundHandler.cs", "C#", 10, 0, 2, 12
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\Sound\GameSceneSfx\CardSoundHandler.cs", "C#", 18, 1, 5, 24
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\Sound\GameSceneSfx\ChipSoundHandler.cs", "C#", 16, 1, 3, 20
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\Sound\GameSceneSfx\GameSfxHolder.cs", "C#", 43, 6, 11, 60
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\Sound\GameSceneSfx\PlayerCanvasSoundHandler.cs", "C#", 10, 1, 2, 13
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\Sound\SfxHolder.cs", "C#", 30, 3, 12, 45
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\Sound\SoundManager.cs", "C#", 71, 5, 17, 93
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\Util\AnimStartListener.cs", "C#", 12, 0, 3, 15
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\Util\ButtonNormalizer.cs", "C#", 11, 1, 2, 14
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\Util\InputFieldEnterHandler.cs", "C#", 24, 0, 10, 34
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\Util\TimeUtils.cs", "C#", 12, 0, 2, 14
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\WebSocketScript\GameMsgHandler.cs", "C#", 3, 4, -3, 4
"Total", "-", 607, 72, 145, 824
